,index,chembl_id,pubchem_cid,smiles,parent_smiles,chembl_tox,withdrawn,standardized_smiles,scaffolds
1296,6731,CHEMBL1201012,15209,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,Safe,0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CCC(C)C12CC(C)(C)CC1CC1C3CC(C)C4CC(C)CCC4(C)C3C(C)CC12C
1805,9028,CHEMBL1749,8759,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)O.[Na+].[Na+],O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)O.[Na+].[Na+],Safe,0,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)O.[Na+].[Na+],CCCCC1(CC)C(C)CC(C)CC1C
568,3211,CHEMBL1089,3675,NNCCc1ccccc1,NNCCc1ccccc1,toxic_psyche,0,NNCCc1ccccc1,CCCCC1CCCCC1
1155,6043,CHEMBL196,54670067,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,Safe,0,O=C1O[C@H]([C@@H](O)CO)C(=O)C1O,CCC(C)C1CC(C)C(C)C1C
1454,7482,CHEMBL305187,3689,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,Safe,0,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,CC1CCC(C(C)C(C)C2CCC(CC3CCCCC3)CC2)CC1
837,4387,CHEMBL131,5755,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,Safe,0,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,CCC(C)C1(C)CCC2C3CCC4CC(C)CCC4(C)C3C(C)CC21C
1245,6464,CHEMBL185,3385,O=c1[nH]cc(F)c(=O)[nH]1,O=c1[nH]cc(F)c(=O)[nH]1,Safe,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1CCC(C)C(C)C1
320,1945,CHEMBL93,60490,CC(c1cc2ccccc2s1)N(O)C(N)=O,CC(c1cc2ccccc2s1)N(O)C(N)=O,Safe,0,CC(c1cc2ccccc2s1)N(O)C(N)=O,CC(C)C(C)C(C)C1CC2CCCCC2C1
412,2357,CHEMBL142438,947,N#N,N#N,Safe,0,N#N,CC
879,4573,CHEMBL455917,2707,OC(O)C(Cl)(Cl)Cl,OC(O)C(Cl)(Cl)Cl,Safe,0,OC(O)C(Cl)(Cl)Cl,CC(C)C(C)(C)C
