,index,chembl_id,Phase,Smiles,market,standardized_smiles,scaffolds
4836,4836,CHEMBL1741037,1,C[C@@H](Oc1ccc(Oc2cnc3ccc(Cl)cc3n2)cc1)C(=O)O,0,C[C@@H](Oc1ccc(Oc2cnc3ccc(Cl)cc3n2)cc1)C(=O)O,CC1CCC2CCC(CC3CCC(CC(C)C(C)C)CC3)CC2C1
9558,9558,CHEMBL2111035,0,CC1CN(C)CC2Cc3c(ccc4ccccc34)OC12O,0,CC1CN(C)CC2Cc3c(ccc4ccccc34)OC12O,CC1CC(C)C2(C)CC3CCC4CCCCC4C3CC2C1
4375,4375,CHEMBL1742441,0,CCCCc1cc(C(=O)OC)cc(=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1F,0,CCCCc1cc(C(=O)OC)cc(=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1F,CCCCC1CC(C(C)CC)CC(C)C1CC1CCC(C2CCCCC2C2CCCC2)CC1C
8090,8090,CHEMBL1380480,0,COc1cc(C(=S)N2CCOCC2)ccc1O,0,COc1cc(C(=S)N2CCOCC2)ccc1O,CCC1CC(C(C)C2CCCCC2)CCC1C
5901,5901,CHEMBL2106316,0,c1ccc(C(c2ccccc2)N2CCN(CCCC3(c4ccccc4)OCCO3)CC2)cc1,0,c1ccc(C(c2ccccc2)N2CCN(CCCC3(c4ccccc4)OCCO3)CC2)cc1,C1CCC(C(C2CCCCC2)C2CCC(CCCC3(C4CCCCC4)CCCC3)CC2)CC1
9894,9894,CHEMBL517231,2,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,0,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,CCC1(CC)CC(C2CCC3C(C)CC(C)CC32)CC1C
7105,7105,CHEMBL2106326,0,CCCOc1cccc(OCCN(C)C(C)C)c1,0,CCCOc1cccc(OCCN(C)C(C)C)c1,CCCCC1CCCC(CCCC(C)C(C)C)C1
231,231,CHEMBL461343,0,N/C(=N\O)N/N=C/c1c(Cl)cccc1Cl,0,N/C(=N\O)N/N=C/c1c(Cl)cccc1Cl,CCC(C)CCCC1C(C)CCCC1C
6152,6152,CHEMBL61511,2,O=P1(N(CCCl)CCCl)NC(OO)CCO1,0,O=P1(N(CCCl)CCCl)NC(OO)CCO1,CCCC(CCC)C1(C)CCCC(CC)C1
6862,6862,CHEMBL324665,0,CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12,0,CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12,CC(C)CCC(C)CCC1CCCC2CC3CCCCC3C12
3298,3298,CHEMBL2105321,0,CCCCC(=O)OC1C(C=O)=CC(O)C(O)C1O,0,CCCCC(=O)OC1C(C=O)=CC(O)C(O)C1O,CCCCC(C)CC1C(CC)CC(C)C(C)C1C
6828,6828,CHEMBL95067,0,CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,0,CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,CC1CC(CC(C)(C)C(C)C)CC2C1CC1CCC3CCCC2C31
