,smiles,ChEMBL_ID,SUM,withdrawn_0.5,withdrawn_1.0,withdrawn_1.5,withdrawn_2.0,withdrawn_2.5,withdrawn_3.0
123,C(=O)(c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1)N[C@@H]4C(=O)N[C@H](C(=O)N5[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N6[C@H](C(=O)N[C@H](O)[C@H](O)C4)[C@@H](O)[C@H](C6)C)[C@H](O)C)[C@@H]([C@H](c7ccc(O)cc7)O)O)C[C@@H](O)C5)[C@H](O)C,CHEMBL264241,0.0,0,0,0,0,0,0
124,C(=O)(OCC)C1(c2ccccc2)CCN(CCc3ccc(cc3)N)CC1,CHEMBL1201347,0.5,1,0,0,0,0,0
125,O=C1c2c(C(=O)C1c3ccc(OC)cc3)cccc2,CHEMBL712,0.5,1,0,0,0,0,0
126,C(=O)(OC1CC2[N+](C(C1)CC2)(C)C)C(CCC)CCC,CHEMBL1578,0.5,1,0,0,0,0,0
127,N(c1ccccc1)(CC2=NCCN2)Cc3ccccc3,CHEMBL1305,0.5,1,0,0,0,0,0
128,O=C1c2c(O)cccc2Cc3c1c(O)ccc3,CHEMBL46469,0.0,0,0,0,0,0,0
129,O=C1N(c2ccccc2)N(C(=C1)C)C,CHEMBL277474,0.0,0,0,0,0,0,0
130,C(=O)(OCCN1CCN(c2cc(C(F)(F)F)ccc2)CC1)c3c(Nc4c5c(ncc4)cc(C(F)(F)F)cc5)cccc3,CHEMBL345524,2.0,1,1,1,1,0,0
131,C(#N)c1c(C(F)(F)F)cc(N2C(=O)C3(N(C2=S)c4cc(F)c(C(=O)NC)cc4)CCC3)cn1,CHEMBL3183409,0.0,0,0,0,0,0,0
132,C(=O)(c1c2c(C(=O)N(c3ccc(N4C(=O)CCCC4)cc3)CC2)n(-c5ccc(OC)cc5)n1)N,CHEMBL231779,0.0,0,0,0,0,0,0
133,c12c(c(O)ccc1C[C@@H]3c4c-2cccc4CCN3C)O,CHEMBL53,0.0,0,0,0,0,0,0
134,Clc1c(c(Cl)cc(c1)N)NC2=NCCN2,CHEMBL647,0.0,0,0,0,0,0,0
135,C(=O)(Nc1c2C(=O)N(C(=O)c2ccc1)[C@@H](c3cc(OCC)c(OC)cc3)CS(=O)(=O)C)C,CHEMBL514800,0.0,0,0,0,0,0,0
