,smiles,withdrawn
150,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,0
151,NNc1nncc2ccccc12,0
152,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,0
153,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,1
154,CC1CCC(C(C)C)C(O)C1,0
155,Cc1cc(=O)n(-c2ccccc2)n1C,0
156,O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,0
157,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,0
158,N=C(N)NCCC[C@H](N)C(=O)O,0
159,N#Cc1c(N2C[C@@H]3NCCO[C@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0
160,CC(S)C(=O)NCC(=O)O,0
161,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,0
162,COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1,0
163,CN(C)c1ccc([C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,0
164,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1,1
165,FC(F)OC(F)C(F)(F)F,0
166,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,1
167,NC(=O)CC[C@H](N)C(=O)O,0
168,CCN(C)C(C)C(O)c1ccccc1,0
169,O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1,0
170,C[N+](C)(C)CCOC(N)=O,0
171,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,0
172,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0
173,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2,0
174,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1,0
175,CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I,0
176,COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1,0
177,C=C(CCCCCCCCCCCCCCCc1nnn[nH]1)NS(=O)(=O)CCCC(=O)NCCOCCOCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)NCCOCCOCC(=O)N[C@@H](CCCCNC(=O)CSC[C@H](N)C(=O)O)C(N)=O)C(=O)O)C(=O)O,0
178,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,0
179,NC(=O)OCC(COC(N)=O)c1ccccc1,0
180,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,0
181,O=C(c1ccccc1)C(O)c1ccccc1,0
182,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0
183,COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C,0
184,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,0
185,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,0
186,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,0
187,CC(C)C[C@H](CN)CC(=O)O,0
188,CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N\O)cc1)C1CCCCC1,1
189,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,0
190,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0
191,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@H]2C[C@@H]3CC[C@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0
192,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,0
193,CN1CCC2=C(C1)C(c1ccccc1)c1ccccc12,0
194,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,0
195,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,0
196,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,0
197,CN(C)CCCn1c2c(c3ccccc31)CCCCCC2,0
198,N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,0
199,O=C([O-])O.[K+],0
200,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CS[C@H]12)c1csc(N)n1,0
201,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,1
202,Cl.N[C@@H](CCC(=O)O)C(=O)O,0
203,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,0
204,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O,0
205,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,0
206,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],0
207,Nc1ccc(C(=O)NCC(=O)O)cc1,0
208,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,1
209,C#CC(C)(O)CC,0
210,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,1
211,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0
212,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,1
213,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,0
214,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,0
215,Cc1ncc(CO)c(CO)c1O,0
216,CN(C)CCCN1c2ccccc2Sc2cccnc21,0
217,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0
218,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,0
219,CC(CNC1CCCCC1)OC(=O)c1ccccc1,0
220,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,0
221,CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC,0
222,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0
223,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,0
224,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341,0
225,Cc1ncc([N+](=O)[O-])n1CC(C)O,0
226,Nc1nc(O)c2ncn(COCCO)c2n1,0
227,C[C@]12Cc3c[nH]nc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0
228,CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,0
229,CC(N)C12CC3CC(CC(C3)C1)C2,0
230,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,0
231,CSCC[C@H](N)C(=O)O,0
232,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,0
233,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0
234,CCON=O,1
235,CCOc1ccc(Nc2ccc(/C(=C3/C=C/C(=[N+](/CC)Cc4cccc(S(=O)(=O)[O-])c4)C=C3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)O)c4)cc3C)cc2)cc1,0
236,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@@H](N)C[C@H]2O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0
237,Cc1cccc(C)c1OCC(C)N,0
238,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0
239,COC(F)(F)C(Cl)Cl,1
240,OCCN(CCO)CCO,0
241,NC(=O)N1c2ccccc2C=Cc2ccccc21,0
242,CC1(O)CCC(C(C)(C)O)CC1,0
243,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,0
244,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,0
245,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,0
246,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,0
247,O=C(O)[C@H](S)[C@H](S)C(=O)O,0
248,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0
249,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,0
250,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1,0
251,O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,0
252,CC(C)Cn1cnc2c(N)nc3ccccc3c21,0
253,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,0
254,N=C(N)NCC1COC2(CCCCC2)O1,0
255,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,0
256,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,0
257,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0
258,C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0
259,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0
