DrugBank ID,CHEMBL_21July2021,smiles,withdrawn
DB14075,CHEMBL65433,C(=O)(NC1C(=O)NC(=O)N1CO)NCNC(=O)NC2C(=O)NC(=O)N2CO,0
DB14033,CHEMBL1200910,C(N(S(=O)(=O)c1ccc(cc1)N)c2c(c(no2)C)C)(=O)C,0
DB14020,CHEMBL190677,C(=O)(c1ccccc1)C(c2ccccc2)O,0
DB14019,CHEMBL3989917,C(C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(C)C)(N(c2c(-c3c(cccc3)C)cc(nc2)N4CC[N+](COP(=O)([O-])O)(CC4)C)C)=O,0
DB14018,CHEMBL316160,O=C1c2c(nc(Br)[nH]2)N(C(=O)N1C)C,0
DB14007,CHEMBL780,C(=O)(O)CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,0
DB14002,CHEMBL1047,C(=O)(Oc1c(c2c(c(c1C)C)O[C@](CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)(CC2)C)C)C,0
DB14001,CHEMBL81421,C(=O)(Oc1c(c2c(c(c1C)C)O[C@](CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)(CC2)C)C)CCC(=O)O,0
DB13997,CHEMBL4297503,C(=O)(OCOC1C(=O)C=CN2C=1C(=O)N3[C@H](N2[C@H]4c5c(c(F)c(F)cc5)CSc6c4cccc6)COCC3)OC,0
DB13981,CHEMBL1476022,C(=O)(O[C@@]1(C(=O)C)[C@@]2([C@H]([C@@H]3C=C(C4=CC(=O)CC[C@@H]4[C@H]3CC2)C)CC1)C)C,0
DB13970,CHEMBL2366023,[N+](CCCCCCCC)(CCCCCCCC)(C)C,0
DB13966,CHEMBL207602,C(=O)(OC(C)C)CCCCCCCCCCCCC,0
DB13962,CHEMBL2104217,C(=O)([O-])[C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O,0
DB13960,CHEMBL1408862,C(Br)([N+](=O)[O-])(CO)CO,0
DB13956,CHEMBL1511,C(=O)(O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC2)CC1)C)CCCC,0
DB13954,CHEMBL1200973,C(=O)(O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC2)CC1)C)CCC5CCCC5,0
DB13953,CHEMBL282575,C(=O)(Oc1cc2c(cc1)[C@@H]3[C@H]([C@H]4[C@@]([C@@H](O)CC4)(CC3)C)CC2)c5ccccc5,0
DB13952,CHEMBL1200430,C(=O)(Oc1cc2c(cc1)[C@@H]3[C@H]([C@H]4[C@@]([C@@H](O)CC4)(CC3)C)CC2)C,0
DB13946,CHEMBL2107067,C(=O)(O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)CC1)C)CCCCCCCCCC,0
DB13944,CHEMBL1200335,C(=O)(O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)CC1)C)CCCCCC,0
DB13943,CHEMBL1201101,C(=O)(O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)CC1)C)CCC5CCCC5,0
DB13931,CHEMBL4594250,C(=O)(OCc1ccc([C@H](C(=O)Nc2cc3c(cncc3)cc2)CN)cc1)c4c(cc(cc4)C)C,0
DB13911,CHEMBL61441,C(=O)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1C2=C3C(=C(Br)C(=O)C(Br)=C3)Oc4c(Br)c(c(Br)cc24)[O-])[O-],0
DB13910,CHEMBL433,C(=O)([O-])C(CCC)CCC,0
DB13909,CHEMBL1592101,C(=O)(c1cc2c(c(O)c1)O[Bi](O2)O)O,0
DB13908,CHEMBL1512677,c1(c(ccc(c1)C)CCCCC)O,0
DB13882,CHEMBL379845,C(=O)(OC)c1cnccc1,0
DB13879,CHEMBL3545363,C(=O)([C@]1(NC(=O)[C@H]2N3C(=O)[C@H](C(C)(C)C)NC(=O)O[C@H]4[C@H](OC/C=C/C(F)(F)c5c(nc6c(n5)cccc6)O[C@@H](C3)C2)CCC4)[C@H](C(F)F)C1)NS(=O)(=O)C7(CC7)C,0
DB13878,CHEMBL3545123,C(=O)(OC)N[C@H](C(=O)N1[C@H](c2nc3c(cc(F)c(c3)[C@@H]4N(c5cc(F)c(c(F)c5)N6CCC(c7ccc(F)cc7)CC6)[C@@H](c8c(F)cc9c(nc([C@H]%10N(C(=O)[C@H]([C@H](OC)C)NC(=O)OC)CCC%10)[nH]9)c8)CC4)[nH]2)CCC1)[C@H](OC)C,0
DB13874,CHEMBL3989908,C(F)(F)(F)c1nc(-c2nc(nc(n2)NCC(O)(C)C)Nc3cc(C(F)(F)F)ncc3)ccc1,0
DB13873,CHEMBL981,C(C(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)(C)C)(=O)O,0
DB13872,CHEMBL22097,O=C1N(c2c(C(c3c(Cl)cccc3)=NC1O)cc(Cl)cc2)C,0
DB13867,CHEMBL1201396,C(=O)(SCF)[C@@]1([C@@]2([C@H]([C@H]3[C@@](F)([C@@]4(C(=CC(=O)C=C4)[C@@H](F)C3)C)[C@@H](O)C2)C[C@H]1C)C)O,0
DB13854,CHEMBL464982,C(=O)(O)CCCC/C=C\C/C=C\C/C=C\CCCCC,0
DB13853,CHEMBL178862,O(c1ccc(C2SSC(=S)C=2)cc1)C,0
DB13851,CHEMBL301267,O([C@H]1O[C@H]2[C@@]34OO[C@@](O2)(CC[C@H]3[C@@H](CC[C@H]4[C@H]1C)C)C)CC,0
DB13848,CHEMBL3400972,C(=O)([C@H](Cc1c([18F])cc(c(O)c1)O)N)O,0
DB13838,CHEMBL2106441,C(=S)(NCO)NC,0
DB13813,CHEMBL1451116,IC(I)I,0
DB13783,CHEMBL189171,C(=O)(OCC(=O)O)Cc1c2c(n(C(=O)c3ccc(Cl)cc3)c1C)ccc(OC)c2,0
