,Identifier,smiles,withdrawn
80,DB00206,C(=O)(O[C@H]1[C@H](OC)[C@@H](C(=O)OC)[C@@H]2[C@@H](CN3[C@@H](c4c(c5c(cc(OC)cc5)[nH]4)CC3)C2)C1)c6cc(OC)c(OC)c(OC)c6,0
81,DB00207,N([C@@H]1[C@@H](O)[C@H](O[C@H]2[C@](O)(C[C@H](CN([C@@H]([C@H]([C@](O)([C@H](OC(=O)[C@@H]([C@@H](O[C@@H]3O[C@H]([C@@H]([C@](OC)(C3)C)O)C)[C@@H]2C)C)CC)C)O)C)C)C)C)O[C@@H](C1)C)(C)C,0
82,DB00208,Clc1c(cccc1)CN2Cc3c(scc3)CC2,0
83,DB00209,C(C(c1ccccc1)(c2ccccc2)O)(=O)O[C@@H]3C[C@H]4[N+]5([C@@H](C3)CC4)CCCC5,0
84,DB00210,C(=O)(c1cc2c(cc(-c3cc(c(OC)cc3)C45CC6CC(C4)CC(C5)C6)cc2)cc1)O,0
85,DB00211,C(=O)(NCC(c1c(OC)ccc(OC)c1)O)CN,0
86,DB00213,O=S(c1nc2c(cc(OC(F)F)cc2)[nH]1)Cc3c(OC)c(OC)ccn3,0
87,DB00214,C(=O)(NS(=O)(=O)c1c(Nc2cc(ccc2)C)ccnc1)NC(C)C,0
88,DB00215,C(#N)c1cc2c(C(c3ccc(F)cc3)(OC2)CCCN(C)C)cc1,0
89,DB00216,O=S(=O)(c1ccccc1)CCc2cc3c(c[nH]c3cc2)C[C@@H]4N(CCC4)C,0
90,DB00217,C(=N/C)(\NCc1ccccc1)/NC,0
91,DB00218,C(=O)(C1C(=O)c2c(c(OC)c(c(F)c2)N3C[C@@H]4[C@H](C3)CCCN4)N(C=1)C5CC5)O,0
92,DB00219,C(C(c1ccccc1)(O)C2CCCCC2)(=O)OCC[N+](CC)(CC)C,0
93,DB00220,C(=O)(c1c(c(O)ccc1)C)N[C@H]([C@H](O)CN2[C@H](C(=O)NC(C)(C)C)C[C@H]3[C@@H](C2)CCCC3)CSc4ccccc4,0
94,DB00221,c1(c(O)ccc(C(C(NC(C)C)CC)O)c1)O,0
95,DB00222,C(=O)(N1C(=O)C(=C(C1)C)CC)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(CC3)C)cc2,0
96,DB00223,C(=O)([C@@]1([C@@]2([C@H]([C@H]3[C@@](F)([C@@]4(C(=CC(=O)C=C4)[C@@H](F)C3)C)[C@@H](O)C2)C[C@@H]1C)C)O)CO,0
97,DB00224,C(=O)([C@H](Cc1ccccc1)C[C@H](O)CN2[C@H](C(=O)NC(C)(C)C)CN(Cc3cnccc3)CC2)N[C@H]4c5c(cccc5)C[C@H]4O,0
98,DB00226,C(=NCC1OC2(OC1)CCCCC2)(N)N,0
99,DB00227,C(=O)(O[C@@H]1[C@H]2C(C=C[C@@H]([C@@H]2CC[C@H]3OC(=O)C[C@H](O)C3)C)=C[C@@H](C1)C)[C@H](CC)C,0
100,DB00228,C(OC(F)F)(F)(F)C(F)Cl,0
101,DB00229,C(=O)(C1=C(CSc2nnnn2CCN(C)C)CS[C@H]3N1C(=O)[C@H]3NC(=O)Cc4nc(sc4)N)O,0
102,DB00230,C(=O)(O)C[C@H](CC(C)C)CN,0
103,DB00231,O=C1N(c2c(C(c3ccccc3)=NC1O)cc(Cl)cc2)C,0
104,DB00232,O=S(=O)(c1c(Cl)cc2c(S(=O)(=O)N(C(N2)CCl)C)c1)N,1
105,DB00233,C(=O)(c1c(O)cc(cc1)N)O,0
106,DB00234,O(c1c(OCC)cccc1)[C@H](c2ccccc2)[C@@H]3OCCNC3,0
107,DB00235,C(#N)C1C(=O)NC(=C(c2ccncc2)C=1)C,0
108,DB00236,C(=O)(N1CCN(C(=O)CCBr)CC1)CCBr,0
109,DB00237,O=C1C(C(=O)NC(=O)N1)(C(CC)C)CC,0
110,DB00238,O=C1c2c(nccc2)N(c3c(c(ccn3)C)N1)C4CC4,0
111,DB00239,C(=N/OCc1c(Cl)cc(Cl)cc1)(\c2c(Cl)cc(Cl)cc2)/Cn3cncc3,0
112,DB00240,C(=O)([C@@]1([C@@]2([C@H]([C@@H]3[C@H](Cl)CC4[C@](C=CC(=O)C=4)([C@H]3[C@@H](O)C2)C)C[C@H]1C)C)O)CO,0
113,DB00241,O=C1C(C(=O)NC(=O)N1)(CC=C)CC(C)C,0
114,DB00242,Clc1nc2c(c(n1)N)ncn2[C@@H]3O[C@@H]([C@@H](O)C3)CO,0
115,DB00243,C(=O)(Nc1c(cccc1C)C)CN2CCN(CC(O)COc3c(OC)cccc3)CC2,0
116,DB00244,C(=O)(c1c(O)ccc(c1)N)O,0
117,DB00245,O(C(c1ccccc1)c2ccccc2)[C@@H]3C[C@H]4N([C@@H](C3)CC4)C,0
118,DB00246,O=C1Nc2c(cc(c(Cl)c2)CCN3CCN(c4c5c(sn4)cccc5)CC3)C1,0
119,DB00247,C(=O)(NC(CO)CC)[C@@H]1C=C2c3c4c(n(cc4C[C@H]2N(C1)C)C)ccc3,0
120,DB00248,C(N(C(=O)[C@H]1CN([C@H]2[C@@H](c3c4c(ccc3)[nH]cc4C2)C1)CC=C)CCCN(C)C)(=O)NCC,0
121,DB00249,O=C1C(I)=CN(C(=O)N1)[C@@H]2O[C@@H]([C@@H](O)C2)CO,0
122,DB00250,O=S(=O)(c1ccc(cc1)N)c2ccc(cc2)N,0
123,DB00251,O(c1ccc(N2CCN(C(C)C)CC2)cc1)C[C@@H]3O[C@@](c4c(Cl)cc(Cl)cc4)(OC3)Cn5ncnc5,0
124,DB00252,O=C1C(c2ccccc2)(c3ccccc3)NC(=O)N1,0
125,DB00253,C(=O)([C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)[C@H](C3)C)C)[C@@H](O)C2)CC1)C)C,0
126,DB00254,C(=O)(C1C(=O)[C@]2(C(=C3C(=O)c4c(O)cccc4[C@@H]([C@H]3[C@H](O)[C@H]2[C@H](N(C)C)C=1O)C)O)O)N,0
127,DB00255,C(=C(/c1ccc(O)cc1)\CC)(\c2ccc(O)cc2)/CC,0
128,DB00256,C(=O)(C1C(=O)[C@]2(C(=C3C(=O)c4c([C@@](O)([C@H]3C[C@H]2[C@H](N(C)C)C=1O)C)cccc4O)O)O)NCNCCCC[C@@H](C(=O)O)N,0
129,DB00257,C(c1c(Cl)cccc1)(c2ccccc2)(c3ccccc3)n4cncc4,0
130,DB00259,O=S(=O)(c1ccc(cc1)N)N,0
131,DB00260,O=C1[C@H](N)CON1,0
132,DB00261,O=C1NC2=Nc3c(c(Cl)c(Cl)cc3)CN2C1,0
133,DB00262,C(N(N=O)CCCl)(=O)NCCCl,0
134,DB00263,O=S(=O)(c1ccc(cc1)N)Nc2c(c(no2)C)C,0
135,DB00264,O(c1ccc(cc1)CCOC)CC(O)CNC(C)C,0
136,DB00265,C(N(c1c(cccc1)C)CC)(=O)C=CC,0
137,DB00266,O=C1C(=C(c2c(O1)cccc2)O)CC3C(=O)Oc4c(C=3O)cccc4,0
138,DB00267,C(/C(=N\OC)/c1nc(sc1)N)(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@@H]32,0
139,DB00268,N(CCc1c2c(ccc1)NC(=O)C2)(CCC)CCC,0
140,DB00269,C(=C(c1ccc(OC)cc1)c2ccc(OC)cc2)(Cl)c3ccc(OC)cc3,1
141,DB00270,C(=O)(OC(C)C)C1=C(NC(=C(C(=O)OC)C1c2c3c(non3)ccc2)C)C,0
142,DB00271,C(=O)(c1c(I)c(c(I)c(c1I)NC(=O)C)NC(=O)C)O,0
143,DB00272,c1(ccn[nH]1)CCN,0
144,DB00273,O=S(=O)(OC[C@]12OC(O[C@H]1[C@@H]3OC(O[C@@H]3CO2)(C)C)(C)C)N,0
145,DB00274,C(#N)CSCC(=O)N[C@]1(OC)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12,0
146,DB00275,C(=O)(c1c(C(O)(C)C)nc(n1Cc2ccc(-c3c(-c4nnn[nH]4)cccc3)cc2)CCC)O,0
147,DB00276,O=S(=O)(Nc1cc(OC)c(Nc2c3c(nc4c2cccc4)cccc3)cc1)C,0
148,DB00277,O=C1c2c(nc[nH]2)N(C(=O)N1C)C,0
149,DB00278,C(=O)(N1[C@@H](C(=O)O)C[C@@H](CC1)C)[C@@H](NS(=O)(=O)c2c3c(ccc2)CC(CN3)C)CCCNC(=N)N,0
150,DB00279,C(=O)([C@H](Cc1cc(I)c(Oc2cc(I)c(O)cc2)c(I)c1)N)O,0
151,DB00280,C(C(c1ncccc1)(c2ccccc2)CCN(C(C)C)C(C)C)(=O)N,0
152,DB00281,C(=O)(Nc1c(cccc1C)C)CN(CC)CC,0
153,DB00282,C(P(=O)(O)O)(P(=O)(O)O)(O)CCN,0
154,DB00283,[C@@](OCC[C@@H]1N(CCC1)C)(c2ccc(Cl)cc2)(c3ccccc3)C,0
155,DB00284,O=C[C@@H]([C@H]([C@H](O[C@H]1O[C@@H]([C@@H](O[C@H]2O[C@@H]([C@@H](N[C@H]3C=C([C@@H](O)[C@H](O)[C@H]3O)CO)[C@H](O)[C@H]2O)C)[C@H](O)[C@H]1O)CO)[C@H](O)CO)O)O,0
156,DB00285,N(CC(c1ccc(OC)cc1)C2(O)CCCCC2)(C)C,0
157,DB00287,C(=O)(OC(C)C)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2cc(C(F)(F)F)ccc2)[C@H](O)C[C@@H]1O,0
158,DB00288,C(=O)(OCC(=O)[C@]12[C@@]3([C@H]([C@H]4[C@@](F)([C@@]5(C(=CC(=O)C=C5)CC4)C)[C@@H](O)C3)C[C@H]1OC6(O2)CCCC6)C)C,0
159,DB00289,O(c1c(cccc1)C)[C@@H](c2ccccc2)CCNC,0
