,smiles,ChEMBL_ID,SUM,withdrawn_0.5,withdrawn_1.0,withdrawn_1.5,withdrawn_2.0,withdrawn_2.5,withdrawn_3.0,standardized_smiles,scaffolds
89,C(=O)(O)CCCCCCNC1c2c(cccc2)CCc3c1cccc3,CHEMBL418995,3.0,1,1,1,1,1,1,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,CC(C)CCCCCCCC1C2CCCCC2CCC2CCCCC21
90,C(=O)(c1ccc(cc1)N)O,CHEMBL542,0.0,0,0,0,0,0,0,Nc1ccc(C(=O)O)cc1,CC1CCC(C(C)C)CC1
91,C(=O)(O)CCCCCN,CHEMBL1046,0.0,0,0,0,0,0,0,NCCCCCC(=O)O,CCCCCCC(C)C
92,O=C1C(c2ccc(cc2)N)(CC)CCC(=O)N1,CHEMBL488,1.5,1,1,1,0,0,0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CCC1(C2CCC(C)CC2)CCC(C)CC1C
93,C(=O)(c1ccc(cc1)N)NCC(=O)O,CHEMBL463,0.0,0,0,0,0,0,0,Nc1ccc(C(=O)NCC(=O)O)cc1,CC(C)CCC(C)C1CCC(C)CC1
94,C(=O)(O)CCC(=O)CN,CHEMBL601,0.0,0,0,0,0,0,0,NCC(=O)CCC(=O)O,CCC(C)CCC(C)C
95,N(C1C(=O)N(c2ccccc2)N(C=1C)C)(C)C,CHEMBL288470,3.0,1,1,1,1,1,1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,CC(C)C1C(C)C(C)C(C2CCCCC2)C1C
96,C(=O)(c1ccc(NCc2nc3c(nc(nc3N)N)nc2)cc1)N[C@H](C(=O)O)CCC(=O)O,CHEMBL376180,1.0,1,1,0,0,0,0,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,CC(C)CCC(CC(C)C1CCC(CCC2CCC3CC(C)CC(C)C3C2)CC1)C(C)C
97,C(=O)(c1c(O)cc(cc1)N)O,CHEMBL1169,0.0,0,0,0,0,0,0,Nc1ccc(C(=O)O)c(O)c1,CC1CCC(C(C)C)C(C)C1
98,C(=O)(c1c2c(oc1CCCC)cccc2)c3cc(I)c(OCCN(CC)CC)c(I)c3,CHEMBL633,0.0,0,0,0,0,0,0,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CCCCC1CC2CCCCC2C1C(C)C1CC(C)C(CCCC(CC)CC)C(C)C1
99,C(=O)(c1c(OC)cc(c(S(=O)(=O)CC)c1)N)NCC2N(CC)CCC2,CHEMBL243712,0.0,0,0,0,0,0,0,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,CCC1CCCC1CCC(C)C1CC(C(C)(C)CC)C(C)CC1CC
100,N(CCC=C1c2c(cccc2)CCc3c1cccc3)(C)C,CHEMBL629,0.0,0,0,0,0,0,0,CN(C)CCC=C1c2ccccc2CCc2ccccc21,CC(C)CCCC1C2CCCCC2CCC2CCCCC21
101,C1(c2c(cccc2)CCc3c1cccc3)=CCC[N+]([O-])(C)C,CHEMBL627,0.0,0,0,0,0,0,0,C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21,CC(C)(C)CCCC1C2CCCCC2CCC2CCCCC21
102,C(=O)(c1c(nc2c(C(=O)c3c(O2)ccc(C(C)C)c3)c1)N)O,CHEMBL1096,1.0,1,1,0,0,0,0,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,CC(C)C1CCC2CC3CC(C)C(C(C)C)CC3C(C)C2C1
