,chembl_id,drugbank_id,canonical_smiles_ap,canonical_smiles_ap_nonstereo,orginal_smiles,mw_ap,rule_of_5,rule_of_5_label,in_drugbank,in_chembl,wd_drugbank,wd_chembl,wd_withdrawn,drugbank_three_class,sum,wd_consensus_1,wd_consensus_2,wd_consensus_3,standardized_smiles,scaffolds,test_train
2502,CHEMBL982,DB06230,c12c3c(O)ccc1C[C@@H]4[C@]5([C@@]2([C@H](C(=C)CC5)O3)CCN4CC6CC6)O,c12c3c(O)ccc1CC4C5(C2(C(C(=C)CC5)O3)CCN4CC6CC6)O,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,339.43725,0,,yes,yes,1,0.0,,DISCONT,0,0,0,0,C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,CC1CCC2CC3C(CC4CC4)CCC45C(CC1C24)C(C)CCC35C,train
583,CHEMBL1201286,DB00219,C(C(c1ccccc1)(O)C2CCCCC2)(=O)OCC[N+](CC)(CC)C,C(C(c1ccccc1)(O)C2CCCCC2)(=O)OCC[N+](CC)(CC)C,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,348.50898,0,,yes,yes,0,0.0,,AD,0,0,0,0,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,CCC(C)(CC)CCCC(C)C(C)(C1CCCCC1)C1CCCCC1,train
187,CHEMBL313833,DB00752,c1(ccccc1)C2C(N)C2,c1(ccccc1)C2C(N)C2,NC1CC1C1=CC=CC=C1,133.19427,0,,yes,yes,0,,1.0,AD,1,1,0,0,NC1CC1c1ccccc1,CC1CC1C1CCCCC1,train
588,CHEMBL1201294,DB01081,C(C(c1ccccc1)(c2ccccc2)CCN3CCC(C(=O)OCC)(c4ccccc4)CC3)#N,C(C(c1ccccc1)(c2ccccc2)CCN3CCC(C(=O)OCC)(c4ccccc4)CC3)#N,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,452.60024000000004,0,,yes,yes,0,0.0,,AD,0,0,0,0,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,CCCC(C)C1(C2CCCCC2)CCC(CCC(CC)(C2CCCCC2)C2CCCCC2)CC1,train
587,CHEMBL1201293,DB00659,C(=O)(NCCCS(=O)(=O)O)C,C(=O)(NCCCS(=O)(=O)O)C,CC(=O)NCCCS(=O)(=O)O,181.21147,0,,yes,yes,0,0.0,,AD,0,0,0,0,CC(=O)NCCCS(=O)(=O)O,CC(C)CCCCC(C)(C)C,train
183,CHEMBL1788385,DB13222,Brc1c(c2c(c(c1)C)cccn2)O,Brc1c(c2c(c(c1)C)cccn2)O,CC1=C2C=CC=NC2=C(O)C(Br)=C1,238.08986000000002,0,,yes,yes,0,,1.0,AD,1,1,0,0,Cc1cc(Br)c(O)c2ncccc12,CC1CC(C)C2CCCCC2C1C,train
585,CHEMBL1201288,DB01219,N(/N1C(=O)NC(=O)C1)=C\c2oc(-c3ccc([N+](=O)[O-])cc3)cc2,N(N1C(=O)NC(=O)C1)=Cc2oc(-c3ccc([N+](=O)[O-])cc3)cc2,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,314.2589,0,,yes,yes,0,0.0,,AD,0,0,0,0,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,CC1CC(C)C(CCC2CCC(C3CCC(C(C)C)CC3)C2)C1,train
584,CHEMBL1201287,DB00405,N(CC[C@H](c1ncccc1)c2ccc(Br)cc2)(C)C,N(CCC(c1ncccc1)c2ccc(Br)cc2)(C)C,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,319.25142999999997,0,,yes,yes,0,0.0,,AD,0,0,0,0,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,CC(C)CCC(C1CCCCC1)C1CCC(C)CC1,train
1143,CHEMBL2,DB00457,C(=O)(c1occc1)N2CCN(c3nc4c(c(n3)N)cc(OC)c(OC)c4)CC2,C(=O)(c1occc1)N2CCN(c3nc4c(c(n3)N)cc(OC)c(OC)c4)CC2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,383.40937,0,,yes,yes,0,0.0,,AD,0,0,0,0,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,CCC1CC2CC(C3CCC(C(C)C4CCCC4)CC3)CC(C)C2CC1CC,train
582,CHEMBL1201284,DB01012,C(F)(F)(F)c1cc(ccc1)CCCN[C@@H](c2c3c(ccc2)cccc3)C,C(F)(F)(F)c1cc(ccc1)CCCNC(c2c3c(ccc2)cccc3)C,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,357.42144,1,LP,yes,yes,0,0.0,,AD,0,0,0,0,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,CC(CCCCC1CCCC(C(C)(C)C)C1)C1CCCC2CCCCC21,train
