,chembl_id,smiles
1445,CHEMBL1200711,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC
1455,CHEMBL1410808,Cc1ccc(O)cc1.Cc1cccc(O)c1.Cc1ccccc1O
1462,CHEMBL3833301,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O.CNC(C)CC1CCCCC1
1471,CHEMBL3707282,O=C([O-])c1cc(=O)[nH]c(=O)[nH]1.O=C([O-])c1cc(=O)[nH]c(=O)[nH]1.[Mg+2]
1485,CHEMBL447868,O=C([O-])c1ccccc1O.[Na+]
1486,CHEMBL306823,O=C([O-])C(Cl)Cl.[Na+]
1536,CHEMBL4297065,CC[C@H]1CCC[C@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)[C@@H](C)C(=O)C2=C[C@@H]3[C@@H](C=C[C@@H]4C[C@@H](O[C@@H]5O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC)C[C@@H]34)C2CC(=O)O1.CC[C@H]1CCC[C@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)[C@@H](C)C(=O)C2=C[C@H]3[C@@H]4C[C@H](O[C@@H]5O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC)C[C@H]4C(C)=C[C@H]3[C@@H]2CC(=O)O1
1562,CHEMBL325041,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
1570,CHEMBL113178,C[Se]CC[C@H](N)C(=O)O
1575,CHEMBL1208646,Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCC(=O)O
1590,CHEMBL1201015,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Al+3]
1605,CHEMBL503160,O=C(O)/C=C/C(=O)O
1615,CHEMBL1200358,O=C([O-])Cc1ccccc1.[Na+]
