,atc_code,chembl_id
500,N05CD04,CHEMBL285674
501,N05AD06,CHEMBL28218
502,N07XX07,CHEMBL284348
503,C01DX16,CHEMBL284906
504,C02BB01,CHEMBL267936
505,L01EA04,CHEMBL288441
506,A04AA02,CHEMBL289469
507,C02AC06,CHEMBL289480
508,N07XX14,CHEMBL290916
509,P01CC01,CHEMBL290960
510,J01MB01,CHEMBL291157
511,A03AA04,CHEMBL282121
512,N01AB05,CHEMBL279816
513,R06AX04,CHEMBL278398
514,D04AB04,CHEMBL278172
515,C05AD03,CHEMBL278172
516,N01BA05,CHEMBL278172
517,R02AD01,CHEMBL278172
518,C07AB08,CHEMBL27810
519,S01EB06,CHEMBL278020
520,N07AA01,CHEMBL278020
521,N07AA51,CHEMBL278020
522,N05AL02,CHEMBL277945
523,D01AC10,CHEMBL277535
524,D01AC60,CHEMBL277535
525,N02BB71,CHEMBL277474
526,S02DA03,CHEMBL277474
527,N02BB51,CHEMBL277474
528,N02BB01,CHEMBL277474
529,N05BA08,CHEMBL277062
530,N02BA55,CHEMBL27577
531,N02BA75,CHEMBL27577
532,N02BA05,CHEMBL27577
533,A06AH02,CHEMBL270190
534,C07AA05,CHEMBL27
535,L01EH01,CHEMBL554
536,V03AC01,CHEMBL556
537,R03CB02,CHEMBL2010507
538,N05AC04,CHEMBL2106439
539,N05AE01,CHEMBL2107011
540,N03AX13,CHEMBL2107062
541,D01AC16,CHEMBL2107430
542,G01AF18,CHEMBL2107430
543,S01KA51,CHEMBL2110674
544,N05CX05,CHEMBL2110805
545,G04BD01,CHEMBL2110805
546,G03DC01,CHEMBL2105618
547,N06AA15,CHEMBL2110816
548,G04BX14,CHEMBL2110900
549,A03AB11,CHEMBL2110948
550,N05AX07,CHEMBL2111030
551,J01CE03,CHEMBL2105612
552,D05BA03,CHEMBL24171
553,C10AD03,CHEMBL1697844
554,N01AX05,CHEMBL190279
555,D05AX04,CHEMBL2105611
556,C04AA31,CHEMBL1987462
557,A07XA04,CHEMBL2103772
558,A16AX15,CHEMBL2103855
559,C03BA05,CHEMBL2105131
560,A07AX03,CHEMBL244888
561,L01AX01,CHEMBL447629
562,H01AC07,CHEMBL3707290
563,R03DA03,CHEMBL37390
564,V03AB22,CHEMBL3833339
565,C01BA08,CHEMBL3833382
566,N02AC01,CHEMBL3833389
567,L01XD05,CHEMBL383675
568,L01XG03,CHEMBL3545432
569,M02AA08,CHEMBL413965
570,P03AB51,CHEMBL416898
571,P03AB01,CHEMBL416898
572,S01JA01,CHEMBL4297067
