,chembl_id,atc_code
730,CHEMBL305906,R02AA06
735,CHEMBL306043,M01CB01
736,CHEMBL308954,J05AG04
738,CHEMBL310555,A01AB07
739,CHEMBL310555,D08AH03
740,CHEMBL310555,G01AC30
741,CHEMBL310555,R02AA14
746,CHEMBL312448,R01AA07
747,CHEMBL312448,R01AB06
748,CHEMBL312448,S01GA03
749,CHEMBL312448,S01GA53
753,CHEMBL3039597,S01AA11
754,CHEMBL3039597,S02AA14
755,CHEMBL3039597,J01GB03
756,CHEMBL3039597,S03AA06
757,CHEMBL3039597,D06AX07
758,CHEMBL3137309,L01XX52
760,CHEMBL3137312,J05AP09
762,CHEMBL3137320,L01XK04
764,CHEMBL3039598,C09AA09
765,CHEMBL315985,N03AF04
767,CHEMBL30008,N07CA03
769,CHEMBL296306,A06AD11
771,CHEMBL296306,A06AD61
772,CHEMBL297302,N05AD07
774,CHEMBL298470,P01BA07
776,CHEMBL30,A02BA01
777,CHEMBL30,A02BA51
779,CHEMBL301265,N04BC05
781,CHEMBL3039514,J05AP10
782,CHEMBL301267,P01BE04
783,CHEMBL302795,M01AC02
785,CHEMBL3039502,L01EM04
787,CHEMBL3039507,A10BK06
789,CHEMBL313972,L01XX10
791,CHEMBL237500,A10BH05
793,CHEMBL3301668,H01BB03
795,CHEMBL325041,L01XG01
797,CHEMBL3291398,J01XX12
799,CHEMBL3301607,L04AA45
801,CHEMBL3301610,L01EF03
803,CHEMBL3301622,L01EX13
805,CHEMBL3301675,A06AX04
807,CHEMBL331378,C09AA15
809,CHEMBL333826,G01AC05
810,CHEMBL333826,D08AH01
811,CHEMBL333826,R02AA02
812,CHEMBL3218576,L01EM02
813,CHEMBL3183549,A11DA03
814,CHEMBL31634,J05AB15
816,CHEMBL3182343,J01CA02
818,CHEMBL3183075,A02BA04
819,CHEMBL3183409,L02BB05
821,CHEMBL32,J01MA14
822,CHEMBL32,S01AE07
825,CHEMBL3187365,N05AH05
826,CHEMBL3187723,L01EE03
828,CHEMBL294199,M02AB01
829,CHEMBL294199,N01BX04
832,CHEMBL253371,A03AX08
833,CHEMBL253371,A03AX58
835,CHEMBL253376,R05CB02
837,CHEMBL256997,M09AX03
839,CHEMBL25105,D08AC04
840,CHEMBL25105,R01AX07
841,CHEMBL25105,R02AA18
842,CHEMBL25105,S01AX08
843,CHEMBL25105,S03AA05
849,CHEMBL259209,N06AX17
850,CHEMBL26,N05AL01
852,CHEMBL262777,A07AA09
