,chembl_id,Phase,Smiles,market
142,CHEMBL3707222,1,CCCC[C@]1(CC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2cccc(NC(=O)N[C@@H]3O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](OCc4ccccc4)[C@H]3O)c2)[C@H]1O,0
143,CHEMBL4298141,0,CC(=O)Oc1ccccc1C(=O)OC1=CC[C@H]2[C@H]3Cc4ccc(OC(=O)c5ccccc5OC(C)=O)c5c4[C@@]2(CCN3C)[C@H]1O5,0
144,CHEMBL2103834,0,CC[C@H]1OC(=O)C[C@@H](OC(C)=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,0
145,CHEMBL444172,3,O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,0
146,CHEMBL19215,4,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,1
147,CHEMBL87045,0,c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,0
148,CHEMBL1887483,0,CCCCCCCCCCCCOCCCN,0
149,CHEMBL491510,0,C[C@H]1CCC[C@@H](O)CCCCCc2cc(O)cc(O)c2C(=O)O1,0
150,CHEMBL2106538,0,CCCC(=O)O[C@]1(C(C)=O)CCC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0
151,CHEMBL2107151,0,O=C(NCCOC(=O)c1ccccc1Nc1ccnc2cc(Cl)ccc12)c1cccnc1,0
152,CHEMBL298194,0,CNC(=O)Nc1c(OCCN2CCCCC2)c(OC)c2occc2c1OC,0
153,CHEMBL105442,2,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,0
154,CHEMBL121,4,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,1
155,CHEMBL419667,2,COc1ccc(S(=O)(=O)N2c3ccc(Cl)cc3[C@](O)(c3ccccc3Cl)[C@@H]2C(=O)N2CCC[C@H]2C(N)=O)cc1OC,0
156,CHEMBL1200937,4,CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C/CNC(=O)/C=C/[C@@H](C)[C@@H](C(C)C)OC(=O)[C@@H]12,1
157,CHEMBL479789,0,N[C@@H](Cc1ccc(O)c(I)c1)C(=O)O,0
158,CHEMBL1237066,4,O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],1
159,CHEMBL26687,1,COc1cc(CCN)cc(OC)c1OC,0
160,CHEMBL2396661,4,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,1
161,CHEMBL2105025,0,CCN(CC)CCNC1=NCCc2ccccc21,0
162,CHEMBL38,4,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,1
163,CHEMBL3358920,3,O=C(O)C[C@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21,0
164,CHEMBL99369,0,O=P(O)(O)C(Cc1ccccn1)P(=O)(O)O,0
165,CHEMBL3039523,2,CCC[C@@H](N(NC(=O)c1cccc(OC)c1CC)C(=O)c1cc(C)cc(C)c1)C(C)(C)C,0
166,CHEMBL2104630,0,CCCCOCCOC(=O)C(c1ccccc1)N1CCCCC1,0
167,CHEMBL2010601,4,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,1
168,CHEMBL2106141,0,CCCCNc1c2c(nc3ccccc13)CCCC2,0
169,CHEMBL2104621,0,CCC(CN)=C(c1ccccc1)c1ccccc1,0
170,CHEMBL571987,2,CCc1nn(CCO)c(CC)c1Oc1cc(C#N)cc(C#N)c1,0
171,CHEMBL279676,0,c1csc(C2(N3CCCCC3)CCCCC2)c1,0
172,CHEMBL2107409,0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](/N=C/c3ccco3)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0
173,CHEMBL592435,2,OC1CCC(Nc2nc(-c3ccccc3)nc3[nH]ccc23)CC1,0
174,CHEMBL2106805,0,O=C(O)c1cc(-c2ccc([N+](=O)[O-])o2)c2ccccc2[n+]1[O-],0
175,CHEMBL1088,4,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,1
176,CHEMBL1908316,0,C/C=C(/CC)C(=O)NC(N)=O,0
177,CHEMBL4518483,2,N#Cc1ccc(COc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,0
178,CHEMBL2107518,0,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)C=C[C@@]4(C)[C@@H]3CC[C@]12C,0
179,CHEMBL421556,0,CC(=O)OCC/C(SC(C)=O)=C(/C)N(C=O)Cc1cnc(C)nc1N,0
180,CHEMBL473417,4,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,1
181,CHEMBL2104309,0,CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1,0
182,CHEMBL1355299,0,CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,0
183,CHEMBL1290,4,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,1
184,CHEMBL42407,0,COc1ccccc1CN(C[C@@H](Cc1c[nH]c2ccccc12)NC(=O)CN1CCC(N2CCCCC2)CC1)C(C)=O,0
185,CHEMBL1357989,0,NNC(=O)CP(=O)(c1ccccc1)c1ccccc1,0
186,CHEMBL1697792,0,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,0
187,CHEMBL2103831,3,COc1ccc2cc([C@H](C)C(=O)OCCCCO[N+](=O)[O-])ccc2c1,0
188,CHEMBL2364619,2,C[N@+]1(CC2CC2)CC[C@]23CC(=O)CC[C@@]2(O)[C@H]1Cc1ccc(C(N)=O)c(O)c13,0
189,CHEMBL3085199,0,C[N+]1(C)[C@H]2C[C@H](OC3c4ccccc4CSc4ccccc43)C[C@@H]1[C@H]1O[C@@H]21,0
190,CHEMBL2106450,0,CC[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@H](OCCc3ccc(N(C)S(C)(=O)=O)cc3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,0
191,CHEMBL4597451,0,Cc1cc(C(=C2C=CC(=N)C=C2)c2ccc(N)c(C)c2)ccc1N,0
192,CHEMBL15594,0,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,0
193,CHEMBL16596,0,CC(C)(C)Sc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4ccccc4n3)cc12,0
194,CHEMBL2110827,0,CC[N+](CC)(CC)CCOC(=O)C(C1CCCC1)C1CCCC1,0
195,CHEMBL3121849,2,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3cc(-c4ccc5nc([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c5c4)ccc3c2)[nH]1)C(C)C,0
